time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-15 00:00:00+00:00,1.0,1.0,149.0,19.0
2021-09-16 00:00:00+00:00,1.0,1.0,55.0,6.0
2021-09-17 00:00:00+00:00,1.0,1.0,55.0,8.0
2021-09-18 00:00:00+00:00,2.0,2.0,37.0,7.0
2021-09-19 00:00:00+00:00,3.0,3.0,27.0,4.0
2021-09-20 00:00:00+00:00,1.0,1.0,41.0,8.0
2021-09-21 00:00:00+00:00,2.0,2.0,7.0,4.0
2021-09-22 00:00:00+00:00,2.0,2.0,26.0,5.0
2021-09-23 00:00:00+00:00,1.0,1.0,7.0,3.0
2021-09-24 00:00:00+00:00,1.0,1.0,4.0,2.0
2021-09-25 00:00:00+00:00,1.0,1.0,,
2021-09-26 00:00:00+00:00,1.0,1.0,,
2021-09-27 00:00:00+00:00,1.0,1.0,,
2021-09-28 00:00:00+00:00,,,5.0,1.0
