time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-11 00:00:00+00:00,0,0,5,2
2021-08-12 00:00:00+00:00,4,4,29,1
2021-08-13 00:00:00+00:00,2,2,36,1
2021-08-14 00:00:00+00:00,1,1,0,0
2021-08-16 00:00:00+00:00,0,0,4,2
2021-08-17 00:00:00+00:00,1,1,0,0
2021-08-23 00:00:00+00:00,1,1,51,8
2021-08-24 00:00:00+00:00,0,0,10,1
2021-08-25 00:00:00+00:00,3,3,65,7
2021-08-26 00:00:00+00:00,0,0,93,5
2021-08-27 00:00:00+00:00,0,0,18,7
2021-08-28 00:00:00+00:00,0,0,72,2
2021-08-29 00:00:00+00:00,0,0,71,8
2021-08-30 00:00:00+00:00,0,0,108,9
2021-08-31 00:00:00+00:00,1,1,52,12
2021-09-01 00:00:00+00:00,0,0,15,2
2021-09-02 00:00:00+00:00,0,0,3,1
2021-09-05 00:00:00+00:00,0,0,9,1
2021-09-07 00:00:00+00:00,6,5,153,1
2021-09-08 00:00:00+00:00,1,1,62,4
2021-09-09 00:00:00+00:00,1,1,3,2
2021-09-10 00:00:00+00:00,1,1,4,1
2021-09-11 00:00:00+00:00,1,1,0,0
2021-09-12 00:00:00+00:00,2,2,16,1
2021-09-13 00:00:00+00:00,3,3,145,9
2021-09-14 00:00:00+00:00,2,2,191,20
2021-09-15 00:00:00+00:00,1,1,149,19
2021-09-16 00:00:00+00:00,1,1,55,6
2021-09-17 00:00:00+00:00,1,1,55,8
2021-09-18 00:00:00+00:00,2,2,37,7
2021-09-19 00:00:00+00:00,3,3,27,4
2021-09-20 00:00:00+00:00,1,1,41,8
2021-09-21 00:00:00+00:00,2,2,7,4
2021-09-22 00:00:00+00:00,2,2,26,5
2021-09-23 00:00:00+00:00,1,1,7,3
2021-09-24 00:00:00+00:00,1,1,4,2
2021-09-25 00:00:00+00:00,1,1,0,0
2021-09-26 00:00:00+00:00,1,1,0,0
2021-09-27 00:00:00+00:00,1,1,0,0
2021-09-28 00:00:00+00:00,1,1,5,1
2021-09-29 00:00:00+00:00,1,1,8,3
2021-09-30 00:00:00+00:00,1,1,0,0
2021-10-01 00:00:00+00:00,1,1,2,1
2021-10-02 00:00:00+00:00,1,1,1,1
2021-10-03 00:00:00+00:00,1,1,10,3
2021-10-04 00:00:00+00:00,3,3,18,2
2021-10-05 00:00:00+00:00,1,1,0,0
2021-10-06 00:00:00+00:00,1,1,0,0
2021-10-07 00:00:00+00:00,2,2,1,1
2021-10-08 00:00:00+00:00,1,1,6,2
2021-10-09 00:00:00+00:00,1,1,7,2
2021-10-10 00:00:00+00:00,1,1,3,2
2021-10-11 00:00:00+00:00,1,1,1,1
2021-10-12 00:00:00+00:00,1,1,1,1
2021-10-13 00:00:00+00:00,1,1,1,1
2021-10-14 00:00:00+00:00,1,1,0,0
2021-10-15 00:00:00+00:00,1,1,0,0
2021-10-16 00:00:00+00:00,1,1,0,0
2021-10-17 00:00:00+00:00,1,1,0,0
2021-10-18 00:00:00+00:00,1,1,1,1
2021-10-19 00:00:00+00:00,4,1,0,0
2021-10-20 00:00:00+00:00,3,1,18,3
2021-10-21 00:00:00+00:00,6,2,0,0
2021-10-22 00:00:00+00:00,5,1,4,1
2021-10-23 00:00:00+00:00,14,2,0,0
2021-10-24 00:00:00+00:00,3,2,0,0
2021-10-25 00:00:00+00:00,2,1,8,1
2021-10-26 00:00:00+00:00,16,3,0,0
2021-10-27 00:00:00+00:00,1,1,0,0
2021-10-28 00:00:00+00:00,2,2,0,0
2021-10-29 00:00:00+00:00,1,1,0,0
2021-10-30 00:00:00+00:00,1,1,0,0
2021-10-31 00:00:00+00:00,2,2,0,0
2021-11-01 00:00:00+00:00,1,1,15,2
2021-11-02 00:00:00+00:00,1,1,3,1
2021-11-03 00:00:00+00:00,1,1,17,4
2021-11-04 00:00:00+00:00,2,2,0,0
2021-11-05 00:00:00+00:00,1,1,5,2
2021-11-06 00:00:00+00:00,1,1,4,1
2021-11-07 00:00:00+00:00,0,0,17,2
